Datetime,Sea pressure - decibar,Sea temperature adjusted,QC
2024-02-06 19:32:25,212.8,16.479,1
2024-02-06 19:32:25,288.3,14.603,1
2024-02-06 19:32:25,312.6,14.11,1
2024-02-06 19:32:25,387.8,13.615,1
2024-02-06 19:32:25,438,13.145,1
2024-02-06 19:32:25,462.8,12.983,1
2024-02-06 19:32:25,537.7,12.376,1
2024-02-06 19:32:25,587.9,12.058,1
2024-02-06 19:32:25,662.7,11.499,1
2024-02-06 19:32:25,687.8,11.319,1
2024-02-06 19:32:25,738,10.996,1
2024-02-06 19:32:25,812.7,10.345,1
2024-02-06 19:32:25,863.6,9.964,1
2024-02-06 19:32:25,912.4,9.375,1
2024-02-06 19:32:25,988.4,8.862,1
2024-02-06 19:32:25,1013.1,8.778,1
2024-02-06 19:32:25,1062.9,8.28,1
2024-02-06 19:32:25,1112.5,7.842,1
2024-02-06 19:32:25,1187.9,7.383,1
2024-02-06 19:32:25,1212.6,7.31,1
2024-02-06 19:32:25,1262.7,6.94,1
2024-02-06 19:32:25,1312.9,6.617,1
2024-02-06 19:32:25,1388.2,6.184,1
2024-02-06 19:32:25,1437.6,5.754,1
2024-02-06 19:32:25,1513.9,5.216,1
2024-02-06 19:32:25,1537.9,5.047,1
2024-02-06 19:32:25,1588,4.818,1
2024-02-06 19:32:25,1662.9,4.341,1
2024-02-06 19:32:25,1687.8,4.152,1
2024-02-06 19:32:25,1738.2,3.894,1
2024-02-06 19:32:25,1787.9,3.678,1
2024-02-06 19:32:25,1837.9,3.492,1
